threshold,n_pairs_cross,pair_rate_pct,pair_rate_davidson_excl_pct,n_pairs_cross_davidson_excl,n_nodes_all,n_conflicted_all,item_rate_all_pct,item_rate_all_lo,item_rate_all_hi,n_nodes_clean,n_conflicted_clean,item_rate_clean_pct,item_rate_clean_lo,item_rate_clean_hi,n_artifact_nodes_dropped,n_nodes_davidson_excl,item_rate_davidson_excl_pct,n_components_all,n_conflicted_components_all,component_rate_all_pct,component_rate_all_lo,component_rate_all_hi,n_components_clean,n_conflicted_components_clean,component_rate_clean_pct,component_rate_clean_lo,component_rate_clean_hi
0.8,29,31.0,28.6,7,45,14,31.1,17.8,44.4,22,10,45.5,22.7,63.6,23,14,28.6,18,6,33.3,11.1,55.6,10,4,40.0,10.0,70.0
0.5,428,41.1,42.0,193,397,200,50.4,45.6,55.2,248,122,49.2,43.1,55.2,149,184,57.1,107,51,47.7,38.3,57.0,92,35,38.0,28.3,47.8
