threshold,n_pairs_cross,pair_rate_pct,pair_rate_davidson_excl_pct,n_pairs_cross_davidson_excl,n_nodes_all,n_conflicted_all,item_rate_all_pct,item_rate_all_lo,item_rate_all_hi,n_nodes_clean,n_conflicted_clean,item_rate_clean_pct,item_rate_clean_lo,item_rate_clean_hi,n_artifact_nodes_dropped,n_nodes_davidson_excl,item_rate_davidson_excl_pct,n_components_all,n_conflicted_components_all,component_rate_all_pct,component_rate_all_lo,component_rate_all_hi,n_components_clean,n_conflicted_components_clean,component_rate_clean_pct,component_rate_clean_lo,component_rate_clean_hi
0.8,17,52.9,40.0,5,27,14,51.9,33.3,70.4,18,10,55.6,33.3,77.8,9,10,40.0,12,6,50.0,25.0,75.0,8,4,50.0,12.5,87.5
0.5,272,48.5,49.5,103,281,151,53.7,48.0,59.4,212,103,48.6,42.0,55.7,69,109,58.7,82,42,51.2,40.2,62.2,73,31,42.5,31.5,53.4
