dataset,f1_full,f1_full_uni,f1_top50,retained_pct,retained_vs_uni_pct,top_tokens
davidson2017,0.899,0.9021,0.816,90.8,90.5,trash yankees bird charlie yellow bitch birds brownies oreo bitches monkey yankee colored hoes pussy
dynahate2021,0.6395,0.6667,0.6103,95.4,91.5,hate fucking fuck women muslims my shit politicians blacks gays trans foreigners jews computer chinks
hatexplain,0.7463,0.7423,0.6658,89.2,89.7,nigger user kike niggers queer faggot retarded sand faggots violence white jews retard jew nigga
tweeteval_hate,0.7337,0.7329,0.6925,94.4,94.5,illegal immigrant deportthemall bitch hoe illegals womensuck whore ass alien buildthewall bitches fuck shut deport
stormfront,0.6811,0.6875,0.6448,94.7,93.8,negro they jews negroes ape scum blacks jew apes filth these filthy groid whites black
